State Jan Feb Mar Apr May Jun Jul Aug Sep Oct Nov Dec Totals
Alabama 44989 46203 51923 41146 43908 42898 51757 69377 56872 63254 77657 100100 690084
Alaska 4582 5233 7136 6505 6376 5557 5298 6796 6106 8281 7213 7840 76923
Arizona 29039 32776 37340 30222 28950 26746 26325 33851 29307 28833 31352 38171 372912
Arkansas 17258 20289 22246 15812 15317 13956 13684 18303 16285 19303 23192 25699 221344
California 98502 96970 123056 114466 111816 115987 89532 99146 95540 96252 92765 106600 1240632
Colorado 38491 40467 46915 39433 36814 34773 33812 38755 35333 37564 39682 47496 469535
Connecticut 16324 15040 18362 15726 14737 14041 13362 13326 12365 12574 13789 13289 172935
Delaware 4119 3682 4985 3807 3694 3204 2873 3547 3356 3982 4258 4920 46427
"District of Columbia" 360 364 417 409 417 305 375 386 610 933 595 755 5926
Florida 97486 101991 114001 93693 88204 85730 84024 107318 89815 97214 107274 128789 1195539
Georgia 44839 48900 56804 40952 37444 34910 34787 45508 39794 43417 48604 63154 539113
Hawaii 1068 1032 1129 1212 1105 857 1045 1025 969 1102 923 1199 12666
Idaho 13634 16965 18314 16004 17565 17541 19637 16411 15818 19392 17385 20609 209275
Illinois 331325 190886 376018 405464 381771 373166 439458 491715 483162 478329 450084 548192 4949570
Indiana 160140 71892 98597 106096 292587 273660 61139 74022 72951 77713 80002 81766 1450565
Iowa 16067 15181 20108 15144 12850 10933 11507 11760 12081 16605 20819 19747 182802
Kansas 13767 15224 17353 11933 11538 10622 10662 13227 11473 13324 17643 20244 167010
Kentucky 308573 328572 379268 381411 332076 369622 319270 315348 286064 303650 391747 405291 4120892
Louisiana 21945 24345 25970 19650 19274 17509 17385 23780 23463 24893 28692 35358 282264
Maine 6682 6794 8766 7375 6552 5809 5437 7686 8510 9912 8297 8806 90626
Maryland 11976 12190 15083 12537 10904 9839 9891 11823 11386 13720 14459 15005 148813
Massachusetts 19812 18604 20670 17738 18007 16256 15272 19189 16991 18059 16649 15069 212316
