State,Popularity
Wyoming,100
Alaska,92
West Virginia,88
Montana,88
Arkansas,83
Alabama,83
North Dakota,80
Mississippi,74
Idaho,74
Kentucky,73
Oklahoma,71
Tennessee,71
New Mexico,68
Missouri,67
South Dakota,66
Iowa,62
Kansas,61
Louisiana,61
North Carolina,60
South Carolina,60
New Hampshire,60
Indiana,60
Nebraska,59
Arizona,59
Texas,59
Utah,59
Wisconsin,58
Maine,58
Nevada,58
Washington,57
Oregon,57
Vermont,57
Colorado,56
Georgia,56
Michigan,56
Ohio,53
Pennsylvania,53
Virginia,51
Minnesota,49
Florida,44
Delaware,42
Illinois,41
Connecticut,39
California,37
Maryland,36
Rhode Island,35
New York,33
Hawaii,31
Massachusetts,26
New Jersey,25
District of Columbia,24
