Name,Team,Age,K%,BB%,OPS,GB%,O-Swing%,Swing%,Hard%,playerid,year
Miguel Cabrera,DET,30,0.144,0.138,1.078,0.387,0.331,0.512,0.451,1744,2013
Mike Trout,LAA,21,0.190,0.154,0.988,0.414,0.237,0.375,0.380,10155,2013
Chris Davis,BAL,27,0.296,0.107,1.004,0.324,0.347,0.502,0.413,9272,2013
Paul Goldschmidt,ARI,25,0.204,0.139,0.952,0.444,0.251,0.416,0.416,9218,2013
Jayson Werth,WSN,34,0.190,0.113,0.931,0.361,0.243,0.405,0.399,1327,2013
Troy Tulowitzki,COL,28,0.166,0.111,0.931,0.415,0.240,0.400,0.366,3531,2013
Joey Votto,CIN,29,0.190,0.186,0.926,0.437,0.196,0.398,0.376,4314,2013
David Ortiz,BOS,37,0.147,0.127,0.959,0.387,0.267,0.456,0.444,745,2013
Michael Cuddyer,COL,34,0.185,0.085,0.919,0.497,0.333,0.467,0.304,1534,2013
Andrew McCutchen,PIT,26,0.150,0.116,0.911,0.407,0.270,0.463,0.399,9847,2013
Shin-Soo Choo,CIN,30,0.187,0.157,0.885,0.494,0.218,0.392,0.304,3174,2013
Edwin Encarnacion,TOR,30,0.100,0.132,0.904,0.351,0.254,0.414,0.366,2151,2013
Freddie Freeman,ATL,23,0.192,0.105,0.897,0.382,0.343,0.547,0.377,5361,2013
Josh Donaldson,OAK,27,0.165,0.114,0.883,0.438,0.266,0.442,0.315,5038,2013
Robinson Cano,NYY,30,0.125,0.095,0.899,0.443,0.339,0.492,0.385,3269,2013
Joe Mauer,MIN,30,0.175,0.120,0.88,0.469,0.237,0.377,0.374,1857,2013
Matt Holliday,STL,33,0.143,0.115,0.879,0.457,0.310,0.499,0.384,1873,2013
Matt Carpenter,STL,27,0.137,0.100,0.873,0.387,0.218,0.371,0.331,8090,2013
Adrian Beltre,TEX,34,0.113,0.072,0.88,0.382,0.356,0.489,0.353,639,2013
Jose Bautista,TOR,32,0.159,0.131,0.856,0.411,0.224,0.384,0.379,1887,2013
Brandon Moss,OAK,29,0.277,0.099,0.859,0.301,0.356,0.498,0.398,4467,2013
Adam Lind,TOR,29,0.198,0.098,0.854,0.459,0.284,0.411,0.402,8027,2013
Giancarlo Stanton,MIA,23,0.278,0.147,0.845,0.434,0.298,0.415,0.388,4949,2013
Mike Napoli,BOS,31,0.324,0.126,0.842,0.369,0.253,0.416,0.413,3057,2013
Daniel Nava,BOS,30,0.174,0.095,0.831,0.342,0.251,0.395,0.342,5450,2013
Brandon Belt,SFG,25,0.219,0.091,0.841,0.344,0.317,0.510,0.369,10264,2013
Carlos Santana,CLE,27,0.171,0.145,0.832,0.425,0.252,0.391,0.317,2396,2013
Marlon Byrd,- - -,35,0.249,0.054,0.847,0.392,0.396,0.548,0.404,950,2013
Allen Craig,STL,28,0.178,0.071,0.83,0.450,0.313,0.454,0.329,3433,2013
Carlos Gomez,MIL,27,0.247,0.063,0.843,0.404,0.363,0.547,0.370,4881,2013
Yadier Molina,STL,30,0.102,0.055,0.836,0.419,0.355,0.535,0.344,7007,2013
Evan Longoria,TBR,27,0.234,0.101,0.842,0.369,0.243,0.414,0.413,9368,2013
Carlos Beltran,STL,36,0.150,0.063,0.83,0.352,0.307,0.466,0.374,589,2013
Prince Fielder,DET,29,0.164,0.105,0.819,0.409,0.303,0.452,0.342,4613,2013
Justin Upton,ATL,25,0.250,0.117,0.818,0.408,0.247,0.438,0.299,5222,2013
Buster Posey,SFG,26,0.118,0.101,0.821,0.473,0.241,0.400,0.326,9166,2013
Jason Kipnis,CLE,26,0.217,0.116,0.818,0.431,0.212,0.382,0.351,9776,2013
Hunter Pence,SFG,30,0.167,0.076,0.822,0.470,0.318,0.458,0.338,8252,2013
Chase Utley,PHI,34,0.149,0.085,0.823,0.380,0.286,0.419,0.346,1679,2013
Chris Johnson,ATL,28,0.212,0.053,0.816,0.455,0.385,0.534,0.300,1191,2013
Ryan Zimmerman,WSN,28,0.210,0.095,0.809,0.447,0.305,0.415,0.400,4220,2013
Shane Victorino,BOS,32,0.141,0.047,0.801,0.426,0.319,0.425,0.280,1677,2013
Domonic Brown,PHI,25,0.180,0.072,0.818,0.424,0.309,0.493,0.333,3154,2013
Adam Jones,BAL,27,0.197,0.036,0.811,0.483,0.438,0.581,0.375,6368,2013
Eric Hosmer,KCR,23,0.147,0.075,0.801,0.527,0.318,0.473,0.367,3516,2013
Dustin Pedroia,BOS,29,0.104,0.101,0.787,0.504,0.274,0.428,0.314,8370,2013
Torii Hunter,DET,37,0.173,0.040,0.8,0.495,0.408,0.551,0.306,731,2013
Adrian Gonzalez,LAD,31,0.153,0.073,0.803,0.382,0.359,0.508,0.358,1908,2013
Billy Butler,KCR,27,0.153,0.118,0.787,0.531,0.286,0.431,0.320,7399,2013
Jonathan Lucroy,MIL,27,0.119,0.079,0.795,0.391,0.309,0.431,0.365,7870,2013
Jed Lowrie,OAK,29,0.137,0.076,0.791,0.334,0.279,0.478,0.270,4418,2013
Jay Bruce,CIN,26,0.265,0.090,0.807,0.367,0.292,0.492,0.345,9892,2013
Starling Marte,PIT,24,0.244,0.044,0.784,0.508,0.359,0.497,0.322,9241,2013
Jacoby Ellsbury,BOS,29,0.145,0.074,0.781,0.508,0.278,0.452,0.303,4727,2013
Will Venable,SDP,30,0.229,0.056,0.796,0.472,0.367,0.513,0.322,211,2013
Kendrys Morales,SEA,30,0.174,0.075,0.785,0.487,0.325,0.483,0.362,8610,2013
Ian Desmond,WSN,27,0.221,0.066,0.784,0.434,0.347,0.504,0.318,6885,2013
Andre Ethier,LAD,31,0.172,0.110,0.783,0.390,0.291,0.467,0.359,6265,2013
Alfonso Soriano,- - -,37,0.249,0.058,0.791,0.380,0.417,0.533,0.317,847,2013
Victor Martinez,DET,34,0.093,0.081,0.785,0.421,0.321,0.448,0.381,393,2013
Coco Crisp,OAK,33,0.111,0.104,0.779,0.408,0.222,0.409,0.245,1572,2013
James Loney,TBR,29,0.129,0.074,0.778,0.422,0.321,0.462,0.283,4556,2013
Kyle Seager,SEA,25,0.176,0.098,0.764,0.343,0.259,0.419,0.293,9785,2013
Chris Carter,HOU,26,0.362,0.120,0.77,0.308,0.276,0.451,0.391,9911,2013
Nick Swisher,CLE,32,0.218,0.121,0.763,0.381,0.246,0.414,0.345,4599,2013
Howie Kendrick,LAA,29,0.173,0.045,0.775,0.513,0.402,0.534,0.337,4229,2013
Brett Gardner,NYY,29,0.209,0.085,0.759,0.414,0.291,0.401,0.249,9927,2013
Ben Zobrist,TBR,32,0.130,0.103,0.756,0.428,0.236,0.397,0.290,7435,2013
Ian Kinsler,TEX,31,0.096,0.083,0.757,0.369,0.232,0.404,0.329,6195,2013
Neil Walker,PIT,27,0.154,0.091,0.757,0.385,0.306,0.456,0.337,7539,2013
Austin Jackson,DET,26,0.210,0.085,0.754,0.417,0.259,0.438,0.326,9848,2013
Adam Dunn,CHW,33,0.311,0.125,0.762,0.383,0.238,0.406,0.398,319,2013
Justin Smoak,SEA,26,0.228,0.123,0.746,0.348,0.287,0.445,0.363,9054,2013
Pablo Sandoval,SFG,26,0.135,0.080,0.758,0.415,0.443,0.556,0.290,5409,2013
Nate Schierholtz,CHC,29,0.187,0.058,0.77,0.397,0.346,0.502,0.306,6201,2013
Alex Rios,- - -,32,0.163,0.062,0.756,0.437,0.280,0.432,0.247,2090,2013
Desmond Jennings,TBR,26,0.191,0.106,0.748,0.469,0.229,0.410,0.350,1965,2013
Pedro Alvarez,PIT,26,0.303,0.078,0.77,0.431,0.347,0.495,0.412,2495,2013
Chase Headley,SDP,29,0.237,0.112,0.747,0.461,0.277,0.459,0.347,4720,2013
Jean Segura,MIL,23,0.135,0.040,0.752,0.587,0.338,0.468,0.276,5933,2013
Salvador Perez,KCR,23,0.120,0.040,0.757,0.466,0.364,0.491,0.297,7304,2013
Martin Prado,ARI,29,0.080,0.071,0.75,0.478,0.275,0.392,0.292,3312,2013
Nori Aoki,MIL,31,0.059,0.082,0.726,0.604,0.259,0.424,0.257,13075,2013
Alex Gordon,KCR,29,0.201,0.074,0.749,0.404,0.296,0.452,0.343,5209,2013
Manny Machado,BAL,20,0.159,0.041,0.746,0.471,0.314,0.480,0.290,11493,2013
Jedd Gyorko,SDP,24,0.234,0.063,0.745,0.376,0.329,0.495,0.367,10816,2013
Anthony Rizzo,CHC,23,0.184,0.110,0.742,0.425,0.295,0.449,0.339,3473,2013
Marco Scutaro,SFG,37,0.062,0.082,0.726,0.489,0.194,0.384,0.195,1555,2013
Nate McLouth,BAL,31,0.145,0.089,0.729,0.386,0.213,0.404,0.271,3190,2013
Chris Denorfia,SDP,32,0.162,0.081,0.732,0.555,0.265,0.415,0.303,4400,2013
David Freese,STL,30,0.203,0.090,0.721,0.552,0.288,0.458,0.365,9549,2013
Mark Trumbo,LAA,27,0.271,0.080,0.747,0.459,0.378,0.502,0.357,6876,2013
J.J. Hardy,BAL,30,0.113,0.059,0.738,0.452,0.294,0.417,0.283,3797,2013
