Season,K/9,BB/9,HR/9,GB%,HR/FB,ERA,WAR,WHIP,League
2010,6.83,3.24,0.99,0.44,0.09,4.14,214,1.35,AL
2011,6.95,3.08,0.99,0.44,0.1,4.08,209.4,1.32,AL
2012,7.41,3.02,1.09,0.45,0.12,4.09,210.8,1.31,AL
2013,7.65,3.06,1.04,0.43,0.11,3.99,218.8,1.32,AL
2014,7.67,2.9,0.89,0.44,0.09,3.82,216.1,1.28,AL
2015,7.64,2.89,1.06,0.44,0.11,4.01,218.5,1.29,AL
2016,8.01,3.03,1.22,0.44,0.13,4.21,223.5,1.32,AL
2017,8.3,3.21,1.31,0.43,0.14,4.38,215.6,1.33,AL
2018,8.49,3.19,1.22,0.42,0.13,4.27,217.5,1.31,AL
2019,8.81,3.29,1.45,0.42,0.15,4.62,220.8,1.35,AL
2020,9,3.5,1.34,0.42,0.15,4.43,81,1.32,AL
