Season,K/9,BB/9,HR/9,GB%,HR/FB,ERA,WAR,WHIP,League
2010,7.39,3.32,0.93,0.45,0.09,4.03,216,1.35,NL
2011,7.29,3.12,0.9,0.45,0.1,3.82,220.4,1.31,NL
2012,7.69,3.08,0.97,0.46,0.11,3.95,219.2,1.31,NL
2013,7.49,2.97,0.89,0.46,0.1,3.74,211.4,1.28,NL
2014,7.78,2.89,0.84,0.46,0.1,3.66,213.9,1.27,NL
2015,7.88,2.95,0.98,0.46,0.11,3.91,211.4,1.3,NL
2016,8.19,3.24,1.11,0.45,0.13,4.17,206,1.33,NL
2017,8.39,3.37,1.23,0.45,0.14,4.34,214.4,1.35,NL
2018,8.57,3.31,1.09,0.44,0.13,4.03,212.7,1.3,NL
2019,8.94,3.3,1.36,0.43,0.15,4.39,209,1.32,NL
2020,9.14,3.59,1.34,0.43,0.15,4.48,77.9,1.33,NL
